mode,query_key,planning_ms,execution_ms,shared_hit_blocks,shared_read_blocks,plan_rows,actual_rows,"scan_nodes"
no_index,gt,0.189,55.760,11128,0,40053,40000,"Seq Scan on user"
no_index,lt,0.153,57.359,11128,0,42037,39999,"Seq Scan on user"
no_index,eq,0.156,17.873,11128,0,1,1,"Seq Scan on user"
no_index,like_left,0.174,18.526,11128,0,20,135,"Seq Scan on user"
no_index,like_right,0.149,17.861,11128,0,20,80,"Seq Scan on user"
no_index,in_list,0.202,22.106,11134,0,5,5,"Seq Scan on user"
btree,gt,0.264,12.395,2611,156,39972,40000,"Index Scan using idx_user_student_number_btree"
btree,lt,0.208,12.439,2821,155,39970,39999,"Index Scan using idx_user_student_number_btree"
btree,eq,0.202,0.090,2,2,1,1,"Index Scan using idx_user_student_number_btree"
btree,like_left,0.228,18.958,11128,0,20,135,"Seq Scan on user"
btree,like_right,0.220,18.323,11128,0,20,80,"Seq Scan on user"
btree,in_list,0.253,0.131,17,3,5,5,"Index Scan using idx_user_student_number_btree"
hash,gt,0.195,53.802,11128,0,39950,40000,"Seq Scan on user"
hash,lt,0.216,55.287,11128,0,41937,39999,"Seq Scan on user"
hash,eq,0.201,0.045,3,0,1,1,"Index Scan using idx_user_student_number_hash"
hash,like_left,0.200,18.789,11128,0,20,135,"Seq Scan on user"
hash,like_right,0.188,18.528,11128,0,20,80,"Seq Scan on user"
hash,in_list,0.239,0.078,12,0,5,5,"Bitmap Heap Scan on user | Bitmap Index Scan using idx_user_student_number_hash"
